식당(ID),식당명,지점명,지역명,주차가능여부,와이파이제공여부,놀이방유무,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,배달서비스유무,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,스마트오더유무,대표메뉴명,식당상태,해시태그,면적정보내용
12552,접시고기,신월점,양천구,Y,Y,N,N,Y,연중무휴,매일 15:00~00:00,N,레드테이블,,경창시장,37.5247331,126.8423097,192.70642,N,"돼지사잇살(150g),돼지항정살(150g),불고기고기주먹밥,접시고기 (1키로/한접시)",NORMAL,"모범음식점,안심식당",
12554,달그닭,,송파구,N,N,N,N,N,,,N,레드테이블,,방이동먹자골목,37.5148002,127.109244,67.41801,N,,NORMAL,포장가능,
12556,냉삼둘리,,노원구,Y,N,N,N,Y,,,Y,레드테이블,,월계역,37.6351089,127.0588879,445.54768,N,,NORMAL,,
12557,자연별곡,NC강서점,강서구,N,N,N,N,N,,,N,레드테이블,,발산역,37.5590293,126.8373108,298.45656,N,,NORMAL,,
12558,찜샤브,현대시티몰 가든파이브점,송파구,N,N,N,N,N,,,N,레드테이블,,래미안 갤러리,37.479228,127.1200606,6.34976,N,"월남쌈명품찜/샤브점심특선,월남쌈스페셜찜/샤브점심특선,찜/샤브명품영양버섯한우쇠고기,찜/샤브해물스페셜한우쇠고기",NORMAL,모범음식점,
12559,백암왕순대,,서대문구,Y,N,N,N,N,,매일 09:30~21:30,N,레드테이블,,해병대104고지전적비,37.5676948,126.9261147,475.62164,N,"모듬순대大,모듬순대小,순대+수육,토종순대",NORMAL,모범음식점,
12560,고향반점,,광진구,N,N,N,N,N,,,N,레드테이블,,건대양꼬치골목 종점,37.5401643,127.0629588,33.93184,N,향라닭날개,NORMAL,"모범음식점,안심식당",
12561,민소한우,중앙여의도지점,영등포구,Y,Y,N,Y,Y,주말,"평일 11:00~14:30, 평일 17:00~22:00",Y,"레드테이블,네이버","http://www.minohanwoo.com/,http://blog.naver.com/PotLit.nhn?blogId=eongteori&from=potLit&categoryNo=49,http://www.intagram.com/minohanwoo_official,http://marttore.naver.com/quick-meal",여의도공원 문화의마당,37.5268606,126.9222995,113.63483,N,,NORMAL,"모범음식점,안심식당,포장가능",
12562,마포갈비,,강남구,N,N,N,Y,N,연중무휴,매일 10:00~24:00,N,레드테이블,,양재시장,37.4821538,127.0397085,121.36193,N,,NORMAL,,
12563,신의주찹쌀순대전문점,,강남구,N,N,N,N,N,,,N,레드테이블,,갤러리 서림,37.5201388,127.0560653,166.98371,N,,NORMAL,트립어드바이저,
12564,한일,,종로구,N,N,N,N,N,,,N,레드테이블,,놀이똥산,37.5718593,126.9841592,67.78059,N,,NORMAL,트립어드바이저,
12566,송림식당,,광진구,Y,N,N,Y,N,,매일 06:00~22:00,N,레드테이블,,건대맛의거리,37.5406196,127.0705675,191.95157,N,"김치찌개,돼지불백,된장찌개,해장국",NORMAL,모범음식점,
12567,은성,,용산구,N,N,N,Y,N,주말,"평일 11:30~13:30, 평일 16:30~22:00",N,레드테이블,,민주인권기념관,37.5410071,126.9715529,175.22379,N,,NORMAL,"모범음식점,블루리본",
12568,신금호마포숯불갈비,,성동구,N,Y,N,Y,N,,매일 11:00~22:30,N,레드테이블,,금남시장,37.5487585,127.0219562,115.20319,Y,,NORMAL,모범음식점,
12569,삼원가든,,강남구,N,N,N,N,Y,,,N,레드테이블,"http://www.amwongarden.com/,http://marttore.naver.com/amwongarden",하우스 도산,37.5253846,127.03571,133.94394,N,,NORMAL,"미쉐린 가이드,블루리본,트립어드바이저",
